Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
29-06-2023,13:11,REDEIA CORPORACION SA,ES0173093024,MAD,XMAD,6,15.3200,EUR,-91.92,EUR,-91.92,EUR,,-2.00,EUR,-93.92,EUR,3ce42014-9a67-497a-aefa-87703d2fab77
23-06-2023,14:53,MAPFRE SA,ES0124244E34,MAD,XMAD,190,1.7780,EUR,-337.82,EUR,-337.82,EUR,,-2.00,EUR,-339.82,EUR,d0fd4c63-0097-40d3-ba29-a03241f20515
23-06-2023,14:27,SANTANDER,ES0113900J37,MAD,XMAD,100,3.0750,EUR,-307.50,EUR,-307.50,EUR,,-2.00,EUR,-309.50,EUR,0b74ea40-fe63-4ac0-a3d4-f49a23da6ab3
25-05-2023,16:14,ISHARES MSCI CHINA A UCITS ETF USD (ACC),IE00BQT3WG13,XET,XETA,25,4.2400,EUR,-106.00,EUR,-106.00,EUR,,-1.00,EUR,-107.00,EUR,d9e734f1-c2d6-4701-b974-91034e623759
19-05-2023,13:54,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,MESI,27,7.5600,EUR,-204.12,EUR,-204.12,EUR,,,EUR,-204.12,EUR,5e259216-e463-4e87-a14a-8967f0db9a15
19-05-2023,13:54,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,XMAD,13,7.5600,EUR,-98.28,EUR,-98.28,EUR,,-2.00,EUR,-100.28,EUR,5e259216-e463-4e87-a14a-8967f0db9a15
02-05-2023,18:01,NINTENDO CO LTD,JP3756600007,TDG,XGAT,8,37.8000,EUR,-302.40,EUR,-302.40,EUR,,-3.90,EUR,-306.30,EUR,02ddb8dd-0e3b-4eca-adbe-d29398c6ce65
02-05-2023,09:25,INT.AIRL.GRP,ES0177542018,MAD,XMAD,-140,1.7500,EUR,245.00,EUR,245.00,EUR,,-1.00,EUR,244.00,EUR,254b6562-3d35-48fe-ba3a-09b53f50109b
26-04-2023,09:45,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,XMAD,26,7.7000,EUR,-200.20,EUR,-200.20,EUR,,-1.00,EUR,-201.20,EUR,c781cdf1-f3d3-46b5-95b9-5eb27f6c9d31
20-03-2023,09:19,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,XMAD,25,8.0000,EUR,-200.00,EUR,-200.00,EUR,,-1.00,EUR,-201.00,EUR,86584eff-3210-45cf-8556-390b1660b4db
20-03-2023,09:13,INT.AIRL.GRP,ES0177542018,MAD,XMAD,140,1.4800,EUR,-207.20,EUR,-207.20,EUR,,-1.00,EUR,-208.20,EUR,379cd2ff-1648-454f-90d5-457d6076fbeb
14-03-2023,13:39,AENA SA,ES0105046009,MAD,MESI,-1,152.2500,EUR,152.25,EUR,152.25,EUR,,-1.00,EUR,151.25,EUR,f1d1f1d3-b484-42b8-b93b-c3ba5b6fe58a
13-03-2023,10:27,REDEIA CORPORACION SA,ES0173093024,MAD,XMAD,30,15.4000,EUR,-462.00,EUR,-462.00,EUR,,-1.00,EUR,-463.00,EUR,3bf20a3d-85f4-495f-ab58-dbddf56e55a0
10-03-2023,09:05,VANGUARD S&P500,IE00B3XXRP09,EAM,XAMS,6,69.8190,EUR,-418.91,EUR,-418.91,EUR,,,EUR,-418.91,EUR,5fec8d30-1332-4dbd-b18d-11a45d1eff16
22-02-2023,16:04,ISHARES MSCI CHINA A UCITS ETF USD (ACC),IE00BQT3WG13,XET,XETA,25,4.7600,EUR,-119.00,EUR,-119.00,EUR,,,EUR,-119.00,EUR,a9646076-0a41-4e7f-85e7-1339f1345171
22-02-2023,09:40,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,XMAD,50,8.9000,EUR,-445.00,EUR,-445.00,EUR,,-1.00,EUR,-446.00,EUR,748921b0-d557-46d1-bc67-dba8bc6a81ed
16-02-2023,15:17,AMADEUS IT,ES0109067019,MAD,MESI,-15,57.5000,EUR,862.50,EUR,862.50,EUR,,-1.00,EUR,861.50,EUR,bbd658a2-a9bd-4fc7-92da-c9ef363e897c
25-01-2023,15:29,AENA SA,ES0105046009,MAD,XMAD,-3,140.0000,EUR,420.00,EUR,420.00,EUR,,-1.00,EUR,419.00,EUR,efb97ba4-f225-493b-ab9a-fef066cb3950
19-01-2023,17:04,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,XMAD,11,8.8000,EUR,-96.80,EUR,-96.80,EUR,,-1.00,EUR,-97.80,EUR,bea2884b-3b8f-4d2d-997e-bcfbcd3ab6fe
13-01-2023,17:17,ENAGAS SA,ES0130960018,MAD,XMAD,15,16.3500,EUR,-245.25,EUR,-245.25,EUR,,-1.00,EUR,-246.25,EUR,fc59c86d-318f-4cd1-8b4e-93a074972fa2
09-01-2023,11:46,IBERDROLA SA RTS,ES06445809P3,MAD,XMAD,-42,0.1796,EUR,7.54,EUR,7.54,EUR,,-1.00,EUR,6.54,EUR,a2534bbc-401b-422b-8cae-78d6b8d97c6b
06-01-2023,00:00,IBERDROLA SA RTS,ES06445809P3,MAD,,42,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
19-12-2022,17:29,PESCANOVA,ES0169350016,MAD,XMAD,260,0.3750,EUR,-97.50,EUR,-97.50,EUR,,-1.00,EUR,-98.50,EUR,9172c6ad-aa57-4adf-af2e-c5f1b02d0fc9
